"Date","Close","Open","High","Low","Volume"
"2/28/2022","35722.1","34851.7","36176.2","34851.7","45760000"
"3/1/2022","35495","36100.5","36403.2","35457.2","30390000"
"3/2/2022","35495","35570.7","35835.6","35268","25860000"
"3/3/2022","37916.9","36024.8","37916.9","35797.8","99110000"
"3/4/2022","37689.8","38598","38825.1","37689.8","43390000"
"3/7/2022","38673.7","37992.6","39733.3","37841.2","49990000"
"3/8/2022","37425","38295.3","38749.4","37425","52660000"
"3/9/2022","37727.7","37841.2","38068.3","36970.9","45210000"
"3/10/2022","37197.9","37841.2","37916.9","37160.1","34880000"
"3/11/2022","36024.8","37235.7","37311.4","35457.2","57640000"
"3/14/2022","34662.5","35797.8","36478.9","34662.5","44000000"
"3/15/2022","34927.4","34776.1","35343.7","34397.7","27120000"
"3/16/2022","34965.3","35495","35684.3","34965.3","14840000"
"3/17/2022","34776.1","35268","35343.7","34738.2","19450000"
"3/18/2022","35192.3","34965.3","35457.2","34851.7","23050000"
"3/21/2022","35457.2","35343.7","35722.1","35116.6","25110000"
"3/22/2022","35495","35495","35532.9","35041","29860000"
"3/23/2022","35419.4","35722.1","35911.3","35419.4","22480000"
"3/24/2022","35116.6","35570.7","35570.7","35078.8","19410000"
"3/25/2022","35116.6","35230.2","35532.9","34965.3","17480000"
"3/28/2022","34738.2","34889.6","35457.2","34662.5","25360000"
"3/29/2022","34700.4","34965.3","35003.1","34662.5","16880000"
"3/30/2022","34435.5","34662.5","35116.6","34359.8","20440000"
"3/31/2022","34132.8","34549","34776.1","33905.7","24560000"
"4/1/2022","34586.9","34057.1","34813.9","33678.7","25610000"
"4/4/2022","34700.4","34813.9","35041","34624.7","15800000"
"4/5/2022","34889.6","34813.9","35116.6","34776.1","15760000"
"4/6/2022","35759.9","34813.9","36289.7","34813.9","38620000"
"4/7/2022","35230.2","35949.1","36024.8","35230.2","18870000"
"4/8/2022","35116.6","35381.5","35608.6","35078.8","17860000"
"4/12/2022","34132.8","35192.3","35192.3","34094.9","23700000"
"4/13/2022","34208.4","34284.1","34397.7","33830","16530000"
"4/14/2022","33981.4","34284.1","34473.3","33981.4","15650000"
"4/15/2022","33451.6","33981.4","34057.1","33413.8","23890000"
"4/18/2022","32278.5","33338.1","33716.5","32278.5","30140000"
"4/19/2022","32770.5","32543.4","33224.6","32467.8","24770000"
"4/20/2022","32694.8","32921.8","33300.3","32619.1","17210000"
"4/21/2022","32808.3","32543.4","33375.9","31862.3","23160000"
"4/22/2022","33148.9","33300.3","33338.1","32051.5","16510000"
"4/25/2022","30840.6","33148.9","33148.9","30840.6","37770000"
"4/26/2022","31181.2","30386.5","31332.5","29970.2","30260000"
"4/27/2022","29241","28347","29516","28278","26860000"
"4/28/2022","29654","29241","29895","29241","19460000"
"4/29/2022","29791","29516","29860","29482","17660000"
"5/4/2022","28897","29791","29791","28897","21310000"
"5/5/2022","28931","29310","29310","28553","19760000"
"5/6/2022","28759","28484","29585","28484","21470000"
"5/9/2022","27486","28553","28828","27486","37590000"
"5/10/2022","28278","27177","28278","26626","27800000"
"5/11/2022","27968","28209","28415","27899","13670000"
"5/12/2022","26317","27934","27968","26317","36110000"
"5/13/2022","24700","26248","26523","24597","61490000"
"5/16/2022","24975","25491","25801","24975","42030000"
"5/17/2022","26282","24906","26282","24769","33480000"
"5/18/2022","26282","26420","26626","26042","22980000"
"5/19/2022","26076","25663","26214","25354","22940000"
"5/20/2022","25904","25938","26007","25629","19920000"
"5/23/2022","25285","26110","26282","24975","14560000"
"5/24/2022","24012","25285","25457","23530","60350000"
"5/25/2022","23702","23737","24046","22739","56370000"
"5/26/2022","24081","24081","24494","23771","23200000"
"5/27/2022","24390","24081","24700","23943","25160000"
"5/30/2022","24390","24425","24666","24287","21530000"
"5/31/2022","23874","24322","24322","23737","26940000"
"6/1/2022","23634","23737","23943","23255","30950000"
"6/2/2022","22808","23393","23599","22739","36290000"
"6/3/2022","22980","22911","23393","22877","21040000"
"6/6/2022","22911","23496","23565","22774","25410000"
